ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,arena,mandante_placar,visitante_placar,estado_vencedor,rodada_minmax,mandante_estado_AL,mandante_estado_BA,mandante_estado_CE,mandante_estado_DF,mandante_estado_GO,mandante_estado_MG,mandante_estado_MT,mandante_estado_PA,mandante_estado_PE,mandante_estado_PR,mandante_estado_RJ,mandante_estado_RN,mandante_estado_RS,mandante_estado_SC,mandante_estado_SP,visitante_estado_AL,visitante_estado_BA,visitante_estado_CE,visitante_estado_DF,visitante_estado_GO,visitante_estado_MG,visitante_estado_MT,visitante_estado_PA,visitante_estado_PE,visitante_estado_PR,visitante_estado_RJ,visitante_estado_RN,visitante_estado_RS,visitante_estado_SC,visitante_estado_SP,vencedor_-,vencedor_America-MG,vencedor_America-RN,vencedor_Athletico-PR,vencedor_Atletico-GO,vencedor_Atletico-MG,vencedor_Avai,vencedor_Bahia,vencedor_Barueri,vencedor_Botafogo-RJ,vencedor_Bragantino,vencedor_Brasiliense,vencedor_CSA,vencedor_Ceara,vencedor_Chapecoense,vencedor_Corinthians,vencedor_Coritiba,vencedor_Criciuma,vencedor_Cruzeiro,vencedor_Cuiaba,vencedor_Figueirense,vencedor_Flamengo,vencedor_Fluminense,vencedor_Fortaleza,vencedor_Goias,vencedor_Gremio,vencedor_Gremio Prudente,vencedor_Guarani,vencedor_Internacional,vencedor_Ipatinga,vencedor_Joinville,vencedor_Juventude,vencedor_Nautico,vencedor_Palmeiras,vencedor_Parana,vencedor_Paysandu,vencedor_Ponte Preta,vencedor_Portuguesa,vencedor_Santa Cruz,vencedor_Santo Andre,vencedor_Santos,vencedor_Sao Caetano,vencedor_Sao Paulo,vencedor_Sport,vencedor_Vasco,vencedor_Vitoria
1,1,2003-03-29,16:00,Sabado,Guarani,Vasco,,,,,brinco de ouro,4,2,SP,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2003-03-29,16:00,Sabado,Athletico-PR,Gremio,,,,,arena da baixada,2,0,PR,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2003-03-30,16:00,Domingo,Flamengo,Coritiba,,,,,maracana,1,1,-,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2003-03-30,16:00,Domingo,Goias,Paysandu,,,,,serra dourada,2,2,-,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2003-03-30,16:00,Domingo,Internacional,Ponte Preta,,,,,beira rio,1,1,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2003-03-30,16:00,Domingo,Criciuma,Fluminense,,,,,heriberto hulse,2,0,SC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2003-03-30,16:00,Domingo,Juventude,Sao Paulo,,,,,alfredo jaconi,2,2,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2003-03-30,16:00,Domingo,Fortaleza,Bahia,,,,,castelao,0,0,-,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,2003-03-30,16:00,Domingo,Cruzeiro,Sao Caetano,,,,,mineirao,2,2,-,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2003-03-30,16:00,Domingo,Vitoria,Figueirense,,,,,barradao,1,1,-,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2003-03-30,18:00,Domingo,Santos,Parana,,,,,vila belmiro,2,2,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
